date,state,cases_deaths,rank,remark
May 2020,Kelantan,0,8,deaths
May 2020,Malacca,1,3,deaths
May 2020,Negeri Sembilan,1,3,deaths
May 2020,Pahang,3,2,deaths
May 2020,Perak,0,8,deaths
May 2020,Perlis,0,8,deaths
May 2020,Penang,0,8,deaths
May 2020,Sabah,1,3,deaths
May 2020,Sarawak,0,8,deaths
May 2020,Selangor,4,1,deaths
May 2020,Terengganu,0,8,deaths
May 2020,Kuala Lumpur,1,3,deaths
May 2020,Labuan,0,8,deaths
May 2020,Putrajaya,0,8,deaths
Jun 2020,Johor,1,3,deaths
Jun 2020,Kedah,0,5,deaths
Jun 2020,Kelantan,0,5,deaths
Jun 2020,Malacca,0,5,deaths
Jun 2020,Negeri Sembilan,0,5,deaths
Jun 2020,Pahang,0,5,deaths
Jun 2020,Perak,0,5,deaths
Jun 2020,Perlis,0,5,deaths
Jun 2020,Penang,0,5,deaths
Jun 2020,Sabah,2,1,deaths
Jun 2020,Sarawak,0,5,deaths
Jun 2020,Selangor,2,1,deaths
Jun 2020,Terengganu,0,5,deaths
Jun 2020,Kuala Lumpur,1,3,deaths
Jun 2020,Labuan,0,5,deaths
Jun 2020,Putrajaya,0,5,deaths
Jul 2020,Johor,1,2,deaths
Jul 2020,Kedah,0,4,deaths
Jul 2020,Kelantan,0,4,deaths
Jul 2020,Malacca,0,4,deaths
Jul 2020,Negeri Sembilan,0,4,deaths
Jul 2020,Pahang,0,4,deaths
Jul 2020,Perak,0,4,deaths
Jul 2020,Perlis,0,4,deaths
Jul 2020,Penang,0,4,deaths
Jul 2020,Sabah,1,2,deaths
Jul 2020,Sarawak,2,1,deaths
Jul 2020,Selangor,0,4,deaths
Jul 2020,Terengganu,0,4,deaths
Jul 2020,Kuala Lumpur,0,4,deaths
Jul 2020,Labuan,0,4,deaths
Jul 2020,Putrajaya,0,4,deaths
Aug 2020,Johor,0,3,deaths
Aug 2020,Kedah,2,1,deaths
Aug 2020,Kelantan,0,3,deaths
Aug 2020,Malacca,1,2,deaths
Aug 2020,Negeri Sembilan,0,3,deaths
Aug 2020,Pahang,0,3,deaths
Aug 2020,Perak,0,3,deaths
Aug 2020,Perlis,0,3,deaths
Aug 2020,Penang,0,3,deaths
Aug 2020,Sabah,0,3,deaths
Aug 2020,Sarawak,0,3,deaths
Aug 2020,Selangor,0,3,deaths
Aug 2020,Terengganu,0,3,deaths
Aug 2020,Kuala Lumpur,0,3,deaths
Aug 2020,Labuan,0,3,deaths
Aug 2020,Putrajaya,0,3,deaths
Sep 2020,Johor,0,4,deaths
Sep 2020,Kedah,3,2,deaths
Sep 2020,Kelantan,0,4,deaths
Sep 2020,Malacca,0,4,deaths
Sep 2020,Negeri Sembilan,0,4,deaths
Sep 2020,Pahang,0,4,deaths
Sep 2020,Perak,0,4,deaths
Sep 2020,Perlis,0,4,deaths
Sep 2020,Penang,1,3,deaths
Sep 2020,Sabah,6,1,deaths
Sep 2020,Sarawak,0,4,deaths
Sep 2020,Selangor,0,4,deaths
Sep 2020,Terengganu,0,4,deaths
Sep 2020,Kuala Lumpur,0,4,deaths
Sep 2020,Labuan,0,4,deaths
Sep 2020,Putrajaya,0,4,deaths
Oct 2020,Johor,0,8,deaths
Oct 2020,Kedah,2,2,deaths
Oct 2020,Kelantan,0,8,deaths
Oct 2020,Malacca,0,8,deaths
Oct 2020,Negeri Sembilan,0,8,deaths
Oct 2020,Pahang,0,8,deaths
Oct 2020,Perak,1,5,deaths
Oct 2020,Perlis,0,8,deaths
Oct 2020,Penang,1,5,deaths
Oct 2020,Sabah,120,1,deaths
Oct 2020,Sarawak,0,8,deaths
Oct 2020,Selangor,2,2,deaths
Oct 2020,Terengganu,0,8,deaths
Oct 2020,Kuala Lumpur,1,5,deaths
Oct 2020,Labuan,2,2,deaths
Oct 2020,Putrajaya,0,8,deaths
Nov 2020,Johor,2,6,deaths
Nov 2020,Kedah,3,4,deaths
Nov 2020,Kelantan,0,11,deaths
Nov 2020,Malacca,0,11,deaths
Nov 2020,Negeri Sembilan,1,8,deaths
Nov 2020,Pahang,0,11,deaths
Nov 2020,Perak,8,2,deaths
Nov 2020,Perlis,0,11,deaths
Nov 2020,Penang,2,6,deaths
Nov 2020,Sabah,90,1,deaths
Nov 2020,Sarawak,0,11,deaths
Nov 2020,Selangor,5,3,deaths
Nov 2020,Terengganu,0,11,deaths
Nov 2020,Kuala Lumpur,1,8,deaths
Nov 2020,Labuan,3,4,deaths
Nov 2020,Putrajaya,1,8,deaths
Dec 2020,Johor,14,3,deaths
Dec 2020,Kedah,1,10,deaths
Dec 2020,Kelantan,6,5,deaths
Dec 2020,Malacca,1,10,deaths
Dec 2020,Negeri Sembilan,4,7,deaths
Dec 2020,Pahang,0,14,deaths
Dec 2020,Perak,1,10,deaths
Dec 2020,Perlis,0,14,deaths
Dec 2020,Penang,5,6,deaths
Dec 2020,Sabah,51,1,deaths
Dec 2020,Sarawak,2,9,deaths
Dec 2020,Selangor,34,2,deaths
Dec 2020,Terengganu,0,14,deaths
Dec 2020,Kuala Lumpur,8,4,deaths
Dec 2020,Labuan,3,8,deaths
Dec 2020,Putrajaya,1,10,deaths
Jan 2021,Johor,39,4,deaths
Jan 2021,Kedah,6,10,deaths
Jan 2021,Kelantan,4,11,deaths
Jan 2021,Malacca,8,8,deaths
Jan 2021,Negeri Sembilan,15,6,deaths
Jan 2021,Pahang,8,8,deaths
Jan 2021,Perak,14,7,deaths
Jan 2021,Perlis,0,16,deaths
Jan 2021,Penang,2,15,deaths
Jan 2021,Sabah,56,2,deaths
Jan 2021,Sarawak,18,5,deaths
Jan 2021,Selangor,163,1,deaths
Jan 2021,Terengganu,4,11,deaths
Jan 2021,Kuala Lumpur,52,3,deaths
Jan 2021,Labuan,3,14,deaths
Jan 2021,Putrajaya,4,11,deaths
Feb 2021,Johor,29,5,deaths
Feb 2021,Kedah,5,10,deaths
Feb 2021,Kelantan,8,7,deaths
Feb 2021,Malacca,6,8,deaths
Feb 2021,Negeri Sembilan,4,12,deaths
Feb 2021,Pahang,4,12,deaths
Feb 2021,Perak,11,6,deaths
Feb 2021,Perlis,0,16,deaths
Feb 2021,Penang,5,10,deaths
Feb 2021,Sabah,49,2,deaths
Feb 2021,Sarawak,46,3,deaths
Feb 2021,Selangor,96,1,deaths
Feb 2021,Terengganu,6,8,deaths
Feb 2021,Kuala Lumpur,37,4,deaths
Feb 2021,Labuan,1,14,deaths
Feb 2021,Putrajaya,1,14,deaths
Mar 2021,Johor,11,5,deaths
Mar 2021,Kedah,3,7,deaths
Mar 2021,Kelantan,3,7,deaths
Mar 2021,Malacca,2,11,deaths
Mar 2021,Negeri Sembilan,1,13,deaths
Mar 2021,Pahang,3,7,deaths
Mar 2021,Perak,3,7,deaths
Mar 2021,Perlis,0,15,deaths
Mar 2021,Penang,5,6,deaths
Mar 2021,Sabah,18,3,deaths
Mar 2021,Sarawak,28,2,deaths
Mar 2021,Selangor,40,1,deaths
Mar 2021,Terengganu,2,11,deaths
Mar 2021,Kuala Lumpur,14,4,deaths
Mar 2021,Labuan,0,15,deaths
Mar 2021,Putrajaya,1,13,deaths
Apr 2021,Johor,14,6,deaths
Apr 2021,Kedah,0,13,deaths
Apr 2021,Kelantan,24,5,deaths
Apr 2021,Malacca,0,13,deaths
Apr 2021,Negeri Sembilan,6,7,deaths
Apr 2021,Pahang,3,9,deaths
Apr 2021,Perak,1,11,deaths
Apr 2021,Perlis,0,13,deaths
Apr 2021,Penang,6,7,deaths
Apr 2021,Sabah,41,3,deaths
Apr 2021,Sarawak,69,1,deaths
Apr 2021,Selangor,56,2,deaths
Apr 2021,Terengganu,3,9,deaths
Apr 2021,Kuala Lumpur,33,4,deaths
Apr 2021,Labuan,0,13,deaths
Apr 2021,Putrajaya,1,11,deaths
May 2021,Johor,195,2,deaths
May 2021,Kedah,130,5,deaths
May 2021,Kelantan,117,6,deaths
May 2021,Malacca,58,9,deaths
May 2021,Negeri Sembilan,86,7,deaths
May 2021,Pahang,32,12,deaths
May 2021,Perak,53,10,deaths
May 2021,Perlis,2,15,deaths
May 2021,Penang,64,8,deaths
May 2021,Sabah,37,11,deaths
May 2021,Sarawak,131,4,deaths
May 2021,Selangor,494,1,deaths
May 2021,Terengganu,28,13,deaths
May 2021,Kuala Lumpur,173,3,deaths
May 2021,Labuan,13,14,deaths
May 2021,Putrajaya,2,15,deaths
Jun 2021,Johor,275,3,deaths
Jun 2021,Kedah,95,7,deaths
Jun 2021,Kelantan,91,8,deaths
Jun 2021,Malacca,79,10,deaths
Jun 2021,Negeri Sembilan,306,2,deaths
Jun 2021,Pahang,64,11,deaths
Jun 2021,Perak,35,12,deaths
Jun 2021,Perlis,4,15,deaths
Jun 2021,Penang,29,14,deaths
Jun 2021,Sabah,80,9,deaths
Jun 2021,Sarawak,109,5,deaths
Jun 2021,Selangor,939,1,deaths
Jun 2021,Terengganu,33,13,deaths
Jun 2021,Kuala Lumpur,256,4,deaths
Jun 2021,Labuan,101,6,deaths
Jun 2021,Putrajaya,2,16,deaths
Jul 2021,Johor,388,4,deaths
Jul 2021,Kedah,368,5,deaths
Jul 2021,Kelantan,41,13,deaths
Jul 2021,Malacca,292,6,deaths
Jul 2021,Negeri Sembilan,461,3,deaths
Jul 2021,Pahang,156,7,deaths
Jul 2021,Perak,88,9,deaths
Jul 2021,Perlis,1,16,deaths
Jul 2021,Penang,79,10,deaths
Jul 2021,Sabah,108,8,deaths
Jul 2021,Sarawak,46,12,deaths
Jul 2021,Selangor,3650,1,deaths
Jul 2021,Terengganu,54,11,deaths
Jul 2021,Kuala Lumpur,894,2,deaths
Jul 2021,Labuan,20,14,deaths
Jul 2021,Putrajaya,5,15,deaths
Aug 2021,Johor,1249,2,deaths
Aug 2021,Kedah,797,4,deaths
Aug 2021,Kelantan,243,9,deaths
Aug 2021,Malacca,290,8,deaths
Aug 2021,Negeri Sembilan,238,10,deaths
Aug 2021,Pahang,185,11,deaths
Aug 2021,Perak,310,7,deaths
Aug 2021,Perlis,19,14,deaths
Aug 2021,Penang,488,6,deaths
Aug 2021,Sabah,753,5,deaths
Aug 2021,Sarawak,92,13,deaths
Aug 2021,Selangor,3232,1,deaths
Aug 2021,Terengganu,124,12,deaths
Aug 2021,Kuala Lumpur,813,3,deaths
Aug 2021,Labuan,2,16,deaths
Aug 2021,Putrajaya,3,15,deaths
Sep 2021,Johor,1103,1,deaths
Sep 2021,Kedah,453,5,deaths
Sep 2021,Kelantan,313,8,deaths
Sep 2021,Malacca,111,12,deaths
Sep 2021,Negeri Sembilan,67,13,deaths
Sep 2021,Pahang,130,10,deaths
Sep 2021,Perak,373,6,deaths
Sep 2021,Perlis,47,14,deaths
Sep 2021,Penang,711,3,deaths
Sep 2021,Sabah,849,2,deaths
Sep 2021,Sarawak,340,7,deaths
Sep 2021,Selangor,673,4,deaths
Sep 2021,Terengganu,130,10,deaths
Sep 2021,Kuala Lumpur,197,9,deaths
Sep 2021,Labuan,0,15,deaths
Sep 2021,Putrajaya,0,15,deaths
